,url,name,categories,img_url,user_reviews,date,price,pegi_desc
32,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_230_150_3,Total War: WARHAMMER II,Single-playerOnline PvPLAN PvPOnline Co-opLAN Co-opSteam AchievementsSteam Trading CardsSteam WorkshopRemote Play on TabletRequires agreement to a 3rd-party EULATotal War: WARHAMMER II EULA,https://steamcdn-a.akamaihd.net/steam/apps/594570/header_alt_assets_9.jpg?t=1602512693,"1,192;94","Sep 28, 2017",59.99,Teen
33,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_230_150_3,PLAYERUNKNOWN'S BATTLEGROUNDS,Online PvPStatsRemote Play on PhoneRemote Play on TabletRequires agreement to a 3rd-party EULAPLAYERUNKNOWN'S BATTLEGROUNDS  EULA,https://steamcdn-a.akamaihd.net/steam/apps/578080/header.jpg?t=1596674062,"17,053;48","Dec 21, 2017",29.99,Teen
34,https://store.steampowered.com/app/413150/Stardew_Valley/?snr=1_7_7_230_150_3,Stardew Valley,Single-playerOnline Co-opLAN Co-opSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on PhoneRemote Play on Tablet,https://steamcdn-a.akamaihd.net/steam/apps/413150/header.jpg?t=1595525376,"4,258;98","Feb 26, 2016",14.99,Everyone
35,https://store.steampowered.com/app/377160/Fallout_4/?snr=1_7_7_230_150_3,Fallout 4,Single-playerSteam AchievementsFull controller supportSteam CloudRemote Play on PhoneRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULAFallout 4 EULA,https://steamcdn-a.akamaihd.net/steam/apps/377160/header.jpg?t=1588615523,"1,892;91","Nov 9, 2015",29.99,Mature 17+
36,https://store.steampowered.com/app/291550/Brawlhalla/?snr=1_7_7_230_150_3,Brawlhalla,Single-playerOnline PvPShared/Split Screen PvPOnline Co-opShared/Split Screen Co-opCross-Platform MultiplayerSteam AchievementsFull controller supportSteam Trading CardsRemote Play on PhoneRemote Play on TabletRemote Play on TVRemote Play Together,https://steamcdn-a.akamaihd.net/steam/apps/291550/header.jpg?t=1602692665,"5,565;84","Oct 17, 2017",0.00,Everyone
37,https://store.steampowered.com/app/1118010/Monster_Hunter_World_Iceborne/?snr=1_7_7_230_150_4,Monster Hunter World: Iceborne,Single-playerDownloadable ContentSteam AchievementsSteam Trading CardsPartial Controller SupportSteam CloudStatsSteam LeaderboardsIncorporates 3rd-party DRM: Denuvo Anti-tamper5 different PC within a day machine activation limit,https://steamcdn-a.akamaihd.net/steam/apps/1118010/header.jpg?t=1601538010,425;59,"Jan 9, 2020",39.99,Teen
38,https://store.steampowered.com/app/304390/FOR_HONOR/?snr=1_7_7_230_150_4,FOR HONOR™,Single-playerOnline PvPOnline Co-opSteam Trading CardsIn-App PurchasesPartial Controller SupportIncorporates 3rd-party DRM: Denuvo Anti-tamper5 different PC within a day machine activation limitRequires 3rd-Party Account: Ubisoft Account (Supports Linking to Steam Account)Requires agreement to a 3rd-party EULAFor Honor EULA 1,https://steamcdn-a.akamaihd.net/steam/apps/304390/header.jpg?t=1602603228,828;76,"Feb 13, 2017",14.99,Mature 17+
39,https://store.steampowered.com/app/1225330/NBA_2K21/?snr=1_7_7_230_150_4,NBA 2K21,Single-playerOnline PvPShared/Split Screen PvPOnline Co-opShared/Split Screen Co-opSteam AchievementsFull controller supportIn-App PurchasesSteam CloudRemote Play TogetherRequires agreement to a 3rd-party EULANBA 2K21 EULA,https://steamcdn-a.akamaihd.net/steam/apps/1225330/header.jpg?t=1599801486,"5,782;28","Sep 3, 2020",59.99,Everyone
40,https://store.steampowered.com/app/281990/Stellaris/?snr=1_7_7_230_150_4,Stellaris,Single-playerCross-Platform MultiplayerSteam AchievementsSteam Trading CardsSteam WorkshopSteam CloudRequires agreement to a 3rd-party EULAStellaris EULA,https://steamcdn-a.akamaihd.net/steam/apps/281990/header.jpg?t=1602169276,"1,252;90","May 9, 2016",39.99,Everyone
41,https://store.steampowered.com/app/703080/Planet_Zoo/?snr=1_7_7_230_150_4,Planet Zoo,Single-playerSteam AchievementsSteam Trading CardsSteam WorkshopSteam CloudIncorporates 3rd-party DRM: Denuvo Anti-tamperRequires agreement to a 3rd-party EULAPlanet Zoo EULA,https://steamcdn-a.akamaihd.net/steam/apps/703080/header.jpg?t=1598353994,633;91,"Nov 5, 2019",44.99,Everyone
42,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_230_150_4,Mount & Blade II: Bannerlord,Single-playerOnline PvPRemote Play on Tablet,https://steamcdn-a.akamaihd.net/steam/apps/261550/header.jpg?t=1599656843,"2,493;81","Mar 30, 2020",49.99,Rate Pending
43,https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_230_150_4,Arma 3,Single-playerOnline PvPLAN PvPOnline Co-opLAN Co-opSteam AchievementsSteam Trading CardsCaptions availableSteam WorkshopPartial Controller SupportSteam LeaderboardsIncludes level editorRequires agreement to a 3rd-party EULAArma 3 EULA,https://steamcdn-a.akamaihd.net/steam/apps/107410/header_alt_assets_11.jpg?t=1602781945,"2,162;88","Sep 12, 2013",29.99,Mature 17+
44,https://store.steampowered.com/app/782330/DOOM_Eternal/?snr=1_7_7_230_150_4,DOOM Eternal,Single-playerOnline PvPSteam AchievementsSteam Trading CardsPartial Controller SupportSteam CloudRemote Play on PhoneRemote Play on TabletIncorporates 3rd-party DRM: DenuvoRequires 3rd-Party Account: Bethesda.net (Supports Linking to Steam Account)Requires agreement to a 3rd-party EULADOOM Eternal EULA,https://steamcdn-a.akamaihd.net/steam/apps/782330/header.jpg?t=1600864395,"1,742;91","Mar 19, 2020",59.99,Mature 17+
45,https://store.steampowered.com/app/1213210/Command__Conquer_Remastered_Collection/?snr=1_7_7_230_150_4,Command & Conquer™ Remastered Collection,Single-playerOnline PvPSteam AchievementsSteam WorkshopSteam CloudIncludes level editorRequires agreement to a 3rd-party EULACommand & Conquer™ Remastered Collection EULA,https://steamcdn-a.akamaihd.net/steam/apps/1213210/header.jpg?t=1592613615,676;90,"Jun 5, 2020",19.99,Teen
46,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_230_150_4,The Witcher® 3: Wild Hunt,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULAThe Witcher 3: Wild Hunt EULA,https://steamcdn-a.akamaihd.net/steam/apps/292030/header.jpg?t=1602588729,"7,480;97","May 18, 2015",39.99,Mature 17+
47,https://store.steampowered.com/app/870780/Control_Ultimate_Edition/?snr=1_7_7_230_150_4,Control Ultimate Edition,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on PhoneRemote Play on TabletRemote Play on TV,https://steamcdn-a.akamaihd.net/steam/apps/870780/header.jpg?t=1600286100,"1,178;90","Aug 27, 2020",39.99,Mature 17+
48,https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/?snr=1_7_7_230_150_4,Remnant: From the Ashes,Single-playerOnline Co-opSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on TabletRemote Play on TV,https://steamcdn-a.akamaihd.net/steam/apps/617290/header.jpg?t=1598909050,461;84,"Aug 19, 2019",39.99,Mature 17+
49,https://store.steampowered.com/app/379430/Kingdom_Come_Deliverance/?snr=1_7_7_230_150_4,Kingdom Come: Deliverance,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on TVRequires agreement to a 3rd-party EULAKingdom Come: Deliverance EULA,https://steamcdn-a.akamaihd.net/steam/apps/379430/header.jpg?t=1602254419,927;82,"Feb 13, 2018",29.99,Mature 17+
50,https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_230_150_5,PAYDAY 2,Single-playerOnline Co-opSteam AchievementsFull controller supportSteam Trading CardsIn-App PurchasesSteam CloudRemote Play on PhoneRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULAPAYDAY 2 EULA,https://steamcdn-a.akamaihd.net/steam/apps/218620/header.jpg?t=1602843705,"3,038;93","Aug 13, 2013",9.99,Mature 17+
51,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS/?snr=1_7_7_230_150_5,Total War: THREE KINGDOMS,Single-playerOnline PvPLAN PvPOnline Co-opLAN Co-opSteam AchievementsSteam Trading CardsSteam CloudIncorporates 3rd-party DRM: Denuvo Anti-tamperRequires agreement to a 3rd-party EULATotal War: THREE KINGDOMS EULA,https://steamcdn-a.akamaihd.net/steam/apps/779340/header_alt_assets_4.jpg?t=1602263355,844;83,"May 23, 2019",59.99,Teen
52,https://store.steampowered.com/app/787860/Farming_Simulator_19/?snr=1_7_7_230_150_5,Farming Simulator 19,Single-playerCross-Platform MultiplayerSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULAFarming Simulator 19 EULA,https://steamcdn-a.akamaihd.net/steam/apps/787860/header.jpg?t=1602860281,"1,170;96","Nov 19, 2018",19.99,Everyone
53,https://store.steampowered.com/app/996580/Spyro_Reignited_Trilogy/?snr=1_7_7_230_150_5,Spyro™ Reignited Trilogy,Single-playerSteam AchievementsFull controller supportSteam Trading CardsSteam CloudRemote Play on PhoneRemote Play on TabletRemote Play on TV,https://steamcdn-a.akamaihd.net/steam/apps/996580/header.jpg?t=1588789018,193;94,"Sep 3, 2019",39.99,Everyone
54,https://store.steampowered.com/app/813780/Age_of_Empires_II_Definitive_Edition/?snr=1_7_7_230_150_5,Age of Empires II: Definitive Edition,Single-playerOnline PvPLAN PvPCross-Platform MultiplayerSteam AchievementsSteam CloudIncludes level editorRemote Play on Tablet,https://steamcdn-a.akamaihd.net/steam/apps/813780/header.jpg?t=1598909139,"1,750;96","Nov 14, 2019",19.99,Teen
55,https://store.steampowered.com/app/228380/Wreckfest/?snr=1_7_7_230_150_5,Wreckfest,Single-playerOnline PvPSteam AchievementsSteam WorkshopPartial Controller SupportSteam CloudStatsSteam LeaderboardsRequires agreement to a 3rd-party EULANext Car Game EULA,https://steamcdn-a.akamaihd.net/steam/apps/228380/header.jpg?t=1600179482,503;93,"Jun 14, 2018",29.99,Teen
56,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_230_150_5,Hunt: Showdown,Online PvPOnline Co-opSteam AchievementsFull controller supportSteam Trading CardsIn-App PurchasesSteam LeaderboardsRemote Play on TabletRemote Play on TVRequires agreement to a 3rd-party EULAHunt: Showdown EULA,https://steamcdn-a.akamaihd.net/steam/apps/594650/header.jpg?t=1600954054,918;78,"Aug 27, 2019",39.99,Mature 17+
57,https://store.steampowered.com/app/1016870/FINAL_FANTASY_XIV_Shadowbringers/?snr=1_7_7_230_150_5,FINAL FANTASY XIV: Shadowbringers,Single-playerMMOOnline PvPOnline Co-opCross-Platform MultiplayerDownloadable ContentPartial Controller Support,https://steamcdn-a.akamaihd.net/steam/apps/1016870/header.jpg?t=1598028342,20;75,"Jul 2, 2019",39.99,Teen
